"lengths"	"start"	"cumul"
"153"	3856	0.0588888988888889	320298
"154"	12328	0.0588888988888889	332626
"155"	626	0.0594444544444444	333252
"156"	2563	0.0597222322222222	335815
"157"	2759	0.0597222322222222	338574
"158"	1064	0.0602777877777778	339638
"159"	1252	0.0602777877777778	340890
"160"	2186	0.0602777877777778	343076
"161"	2021	0.0605555655555556	345097
"162"	2170	0.0611111211111111	347267
"163"	535	0.0616666766666667	347802
"164"	749	0.0619444544444444	348551
"165"	3608	0.0627777877777778	352159
"166"	1014	0.0638888988888889	353173
"167"	356	0.0644444544444444	353529
"168"	1840	0.0644444544444444	355369
"169"	1489	0.0655555655555556	356858
"170"	3420	0.0655555655555556	360278
"171"	2024	0.0658333433333333	362302
"172"	2459	0.0666666766666667	364761
"173"	1058	0.0677777877777778	365819
"174"	1383	0.0702777877777778	367202
"175"	1514	0.0702777877777778	368716
"176"	4916	0.0702777877777778	373632
"177"	5498	0.0702777877777778	379130
"178"	408	0.0705555655555555	379538
"179"	307	0.0711111211111111	379845
"180"	533	0.0713888988888889	380378
"181"	752	0.0713888988888889	381130
"182"	906	0.0713888988888889	382036
"183"	3606	0.0716666766666667	385642
"184"	5200	0.0716666766666667	390842
"185"	3040	0.0722222322222222	393882
"186"	501	0.0733333433333333	394383
"187"	1144	0.0733333433333333	395527
"188"	5118	0.0744444544444444	400645
"189"	2025	0.0752777877777778	402670
"190"	2038	0.0763888988888889	404708
"191"	708	0.0783333433333333	405416
"192"	1416	0.0783333433333333	406832
"193"	1568	0.0786111211111111	408400
"194"	2308	0.0786111211111111	410708
"195"	4033	0.0786111211111111	414741
"196"	1851	0.0791666766666667	416592
"197"	857	0.0797222322222222	417449
"198"	2533	0.0797222322222222	419982
"199"	1727	0.08000001	421709
"200"	1785	0.08000001	423494
"201"	1714	0.0805555655555556	425208
"202"	1836	0.0805555655555556	427044
"203"	2685	0.0805555655555556	429729
"204"	781	0.0811111211111111	430510
"205"	1366	0.0816666766666667	431876
"206"	296	0.0822222322222222	432172
"207"	2358	0.08250001	434530
"208"	2466	0.0836111211111111	436996
"209"	1158	0.08500001	438154
"210"	1388	0.08500001	439542
"211"	3251	0.0858333433333333	442793
"212"	1854	0.0861111211111111	444647
"213"	1287	0.0880555655555555	445934
"214"	1515	0.0880555655555555	447449
"215"	2816	0.0880555655555555	450265
"216"	1128	0.0883333433333333	451393
"217"	3480	0.09000001	454873
"218"	8308	0.09000001	463181
"219"	1530	0.0905555655555556	464711
"220"	1612	0.0905555655555556	466323
"221"	3811	0.09250001	470134
"222"	1037	0.0930555655555556	471171
"223"	1877	0.0933333433333333	473048
"224"	1015	0.0952777877777778	474063
"225"	1764	0.0952777877777778	475827
"226"	1898	0.0952777877777778	477725
"227"	8857	0.0955555655555556	486582
"228"	2705	0.0963888988888889	489287
"229"	824	0.0969444544444444	490111
"230"	1078	0.09750001	491189
"231"	3729	0.09750001	494918
"232"	4808	0.0980555655555556	499726
"233"	1870	0.101666676666667	501596
"234"	3103	0.101666676666667	504699
"235"	1244	0.102777787777778	505943
"236"	3266	0.104722232222222	509209
"237"	2221	0.10500001	511430
"238"	3002	0.105833343333333	514432
"239"	2648	0.107222232222222	517080
"240"	7935	0.107222232222222	525015
"241"	2828	0.10750001	527843
"242"	2314	0.108055565555556	530157
"243"	5619	0.108888898888889	535776
"244"	556	0.110555565555556	536332
"245"	543	0.111944454444444	536875
"246"	991	0.114166676666667	537866
"247"	4426	0.114166676666667	542292
"248"	1592	0.114444454444444	543884
"249"	2824	0.115277787777778	546708
"250"	6359	0.115277787777778	553067
"251"	4740	0.116388898888889	557807
"252"	6412	0.11750001	564219
"253"	1270	0.118055565555556	565489
"254"	582	0.118333343333333	566071
"255"	437	0.118611121111111	566508
"256"	1030	0.118611121111111	567538
"257"	5493	0.118611121111111	573031
"258"	719	0.118888898888889	573750
"259"	4046	0.119166676666667	577796
"260"	3909	0.119722232222222	581705
"261"	1580	0.12000001	583285
"262"	527	0.120277787777778	583812
"263"	911	0.120277787777778	584723
"264"	3104	0.120833343333333	587827
"265"	706	0.121111121111111	588533
"266"	1152	0.121666676666667	589685
"267"	9381	0.121666676666667	599066
"268"	1820	0.121944454444444	600886
"269"	1249	0.123333343333333	602135
"270"	1290	0.123333343333333	603425
"271"	1984	0.124444454444444	605409
"272"	1346	0.124722232222222	606755
"273"	595	0.12500001	607350
"274"	1952	0.126111121111111	609302
"275"	1160	0.126666676666667	610462
"276"	1594	0.126666676666667	612056
"277"	2424	0.126666676666667	614480
"278"	850	0.126944454444444	615330
"279"	2664	0.126944454444444	617994
"280"	3030	0.127777787777778	621024
"281"	2798	0.128055565555556	623822
"282"	814	0.129166676666667	624636
"283"	750	0.129444454444444	625386
"284"	729	0.131111121111111	626115
"285"	1620	0.131388898888889	627735
"286"	1438	0.131944454444444	629173
"287"	1885	0.133055565555556	631058
"288"	651	0.136388898888889	631709
"289"	845	0.136388898888889	632554
"290"	1522	0.136388898888889	634076
"291"	5954	0.136666676666667	640030
"292"	1119	0.13750001	641149
"293"	617	0.139166676666667	641766
"294"	4389	0.139444454444444	646155
"295"	4648	0.14000001	650803
"296"	745	0.140555565555556	651548
"297"	4686	0.141666676666667	656234
"298"	7809	0.141666676666667	664043
"299"	572	0.14250001	664615
"300"	629	0.142777787777778	665244
"301"	997	0.142777787777778	666241
"302"	907	0.143333343333333	667148
"303"	2628	0.143611121111111	669776
"304"	706	0.144166676666667	670482
"305"	1017	0.144444454444444	671499
"306"	657	0.146111121111111	672156
"307"	690	0.146111121111111	672846
"308"	4632	0.146111121111111	677478
"309"	2903	0.146388898888889	680381
"310"	2205	0.146666676666667	682586
"311"	2033	0.146944454444444	684619
"312"	4919	0.147222232222222	689538
"313"	3411	0.14750001	692949
"314"	520	0.148611121111111	693469
"315"	3576	0.148888898888889	697045
"316"	1640	0.15000001	698685
"317"	1400	0.150277787777778	700085
"318"	3327	0.156944454444444	703412
"319"	1653	0.157222232222222	705065
"320"	1877	0.157222232222222	706942
"321"	2372	0.15750001	709314
"322"	3438	0.157777787777778	712752
"323"	1188	0.158055565555556	713940
"324"	5403	0.158055565555556	719343
"325"	825	0.158333343333333	720168
"326"	1537	0.160833343333333	721705
"327"	1904	0.160833343333333	723609
"328"	1063	0.162222232222222	724672
"329"	2605	0.164166676666667	727277
"330"	6492	0.165277787777778	733769
"331"	5337	0.166666676666667	739106
"332"	1284	0.167222232222222	740390
"333"	2622	0.168333343333333	743012
"334"	1524	0.170833343333333	744536
"335"	3721	0.170833343333333	748257
"336"	4431	0.170833343333333	752688
"337"	2579	0.171111121111111	755267
"338"	2612	0.171111121111111	757879
"339"	6796	0.171388898888889	764675
"340"	4133	0.17250001	768808
"341"	796	0.173055565555556	769604
"342"	2365	0.173055565555556	771969
"343"	2032	0.173888898888889	774001
"344"	1205	0.174166676666667	775206
"345"	1410	0.174444454444444	776616
"346"	2799	0.17500001	779415
"347"	521	0.175555565555556	779936
"348"	1514	0.175555565555556	781450
"349"	6703	0.175555565555556	788153
"350"	1230	0.176111121111111	789383
"351"	1272	0.176111121111111	790655
"352"	1714	0.176388898888889	792369
"353"	3559	0.176388898888889	795928
"354"	3258	0.178888898888889	799186
"355"	2388	0.179722232222222	801574
"356"	737	0.18000001	802311
"357"	1483	0.181111121111111	803794
"358"	1370	0.181388898888889	805164
"359"	831	0.182222232222222	805995
"360"	6374	0.182777787777778	812369
"361"	2130	0.183333343333333	814499
"362"	709	0.184444454444444	815208
"363"	1528	0.185277787777778	816736
"364"	2166	0.186944454444444	818902
"365"	1403	0.187222232222222	820305
"366"	1050	0.188888898888889	821355
"367"	4777	0.188888898888889	826132
