channel	filename	read_length	exp_starttime	unix_timestamp	duration	unix_timestamp_end	iso_timestamp	day	hour	minute
11	MINION02_4teamawesome_2446_1_ch11_file2_strand.fast5	1492	1445624688	1445626077	12	1445626089	2015-10-23T14:47:57-0400	23	14	47
11	MINION02_4teamawesome_2446_1_ch11_file4_strand.fast5	3627	1445624688	1445626173	36	1445626209	2015-10-23T14:49:33-0400	23	14	49
11	MINION02_4teamawesome_2446_1_ch11_file6_strand.fast5	598	1445624688	1445626338	5	1445626343	2015-10-23T14:52:18-0400	23	14	52
124	MINION02_4teamawesome_2446_1_ch124_file2_strand.fast5	2910	1445624688	1445624893	43	1445624936	2015-10-23T14:28:13-0400	23	14	28
124	MINION02_4teamawesome_2446_1_ch124_file5_strand.fast5	3266	1445624688	1445625103	29	1445625132	2015-10-23T14:31:43-0400	23	14	31
126	MINION02_4teamawesome_2446_1_ch126_file3_strand.fast5	3136	1445624688	1445624913	27	1445624940	2015-10-23T14:28:33-0400	23	14	28
126	MINION02_4teamawesome_2446_1_ch126_file5_strand.fast5	1836	1445624688	1445625016	16	1445625032	2015-10-23T14:30:16-0400	23	14	30
129	MINION02_4teamawesome_2446_1_ch129_file2_strand.fast5	1649	1445624688	1445641763	14	1445641777	2015-10-23T19:09:23-0400	23	19	09
129	MINION02_4teamawesome_2446_1_ch129_file8_strand.fast5	479	1445624688	1445685875	9	1445685884	2015-10-24T07:24:35-0400	24	07	24
133	MINION02_4teamawesome_2446_1_ch133_file10_strand.fast5	1050	1445624688	1445625406	7	1445625413	2015-10-23T14:36:46-0400	23	14	36
133	MINION02_4teamawesome_2446_1_ch133_file11_strand.fast5	680	1445624688	1445625422	6	1445625428	2015-10-23T14:37:02-0400	23	14	37
133	MINION02_4teamawesome_2446_1_ch133_file12_strand.fast5	3722	1445624688	1445625437	48	1445625485	2015-10-23T14:37:17-0400	23	14	37
133	MINION02_4teamawesome_2446_1_ch133_file14_strand.fast5	1918	1445624688	1445625723	17	1445625740	2015-10-23T14:42:03-0400	23	14	42
133	MINION02_4teamawesome_2446_1_ch133_file15_strand.fast5	4431	1445624688	1445625760	38	1445625798	2015-10-23T14:42:40-0400	23	14	42
133	MINION02_4teamawesome_2446_1_ch133_file16_strand.fast5	1214	1445624688	1445625833	8	1445625841	2015-10-23T14:43:53-0400	23	14	43
133	MINION02_4teamawesome_2446_1_ch133_file24_strand.fast5	1196	1445624688	1445626331	10	1445626341	2015-10-23T14:52:11-0400	23	14	52
133	MINION02_4teamawesome_2446_1_ch133_file25_strand.fast5	942	1445624688	1445626580	9	1445626589	2015-10-23T14:56:20-0400	23	14	56
133	MINION02_4teamawesome_2446_1_ch133_file28_strand.fast5	6266	1445624688	1445626651	48	1445626699	2015-10-23T14:57:31-0400	23	14	57
133	MINION02_4teamawesome_2446_1_ch133_file29_strand.fast5	563	1445624688	1445626745	4	1445626749	2015-10-23T14:59:05-0400	23	14	59
133	MINION02_4teamawesome_2446_1_ch133_file31_strand.fast5	4530	1445624688	1445626841	46	1445626887	2015-10-23T15:00:41-0400	23	15	00
133	MINION02_4teamawesome_2446_1_ch133_file32_strand.fast5	2139	1445624688	1445626929	17	1445626946	2015-10-23T15:02:09-0400	23	15	02
133	MINION02_4teamawesome_2446_1_ch133_file33_strand.fast5	455	1445624688	1445626966	3	1445626969	2015-10-23T15:02:46-0400	23	15	02
133	MINION02_4teamawesome_2446_1_ch133_file36_strand.fast5	3058	1445624688	1445627193	26	1445627219	2015-10-23T15:06:33-0400	23	15	06
133	MINION02_4teamawesome_2446_1_ch133_file39_strand.fast5	6034	1445624688	1445627636	64	1445627700	2015-10-23T15:13:56-0400	23	15	13
133	MINION02_4teamawesome_2446_1_ch133_file3_strand.fast5	408	1445624688	1445624980	3	1445624983	2015-10-23T14:29:40-0400	23	14	29
133	MINION02_4teamawesome_2446_1_ch133_file40_strand.fast5	1664	1445624688	1445627758	14	1445627772	2015-10-23T15:15:58-0400	23	15	15
133	MINION02_4teamawesome_2446_1_ch133_file44_strand.fast5	10008	1445624688	1445627988	97	1445628085	2015-10-23T15:19:48-0400	23	15	19
133	MINION02_4teamawesome_2446_1_ch133_file45_strand.fast5	5901	1445624688	1445628167	53	1445628220	2015-10-23T15:22:47-0400	23	15	22
133	MINION02_4teamawesome_2446_1_ch133_file46_strand.fast5	4912	1445624688	1445628274	46	1445628320	2015-10-23T15:24:34-0400	23	15	24
133	MINION02_4teamawesome_2446_1_ch133_file54_strand.fast5	390	1445624688	1445639582	3	1445639585	2015-10-23T18:33:02-0400	23	18	33
133	MINION02_4teamawesome_2446_1_ch133_file5_strand.fast5	3103	1445624688	1445625092	28	1445625120	2015-10-23T14:31:32-0400	23	14	31
133	MINION02_4teamawesome_2446_1_ch133_file6_strand.fast5	4740	1445624688	1445625145	40	1445625185	2015-10-23T14:32:25-0400	23	14	32
133	MINION02_4teamawesome_2446_1_ch133_file8_strand.fast5	520	1445624688	1445625261	4	1445625265	2015-10-23T14:34:21-0400	23	14	34
136	MINION02_4teamawesome_2446_1_ch136_file2_strand.fast5	904	1445624688	1445625634	8	1445625642	2015-10-23T14:40:34-0400	23	14	40
136	MINION02_4teamawesome_2446_1_ch136_file3_strand.fast5	3029	1445624688	1445625746	25	1445625771	2015-10-23T14:42:26-0400	23	14	42
